id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
201682,Mon Aug 09 2021 04:52:11 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:30 GMT-0600 (Mountain Daylight Time),201682,Octavio De La Grana,Assistant Coach for Player Development,12,1610612748,nba/coaches/201682
1628784,Mon Aug 09 2021 04:52:07 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:54 GMT-0600 (Mountain Daylight Time),1628784,Pat St. Andrews,Assistant Coach,2,1610612749,nba/coaches/1628784
974,Mon Aug 09 2021 04:50:10 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:01:18 GMT-0600 (Mountain Daylight Time),974,Joseph Blair,Assistant Coach,2,1610612750,nba/coaches/974
203243,Mon Aug 09 2021 04:51:45 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:01:43 GMT-0600 (Mountain Daylight Time),203243,Casey Hill,Assistant Coach,2,1610612740,nba/coaches/203243
100101,Mon Aug 09 2021 04:52:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:01:44 GMT-0600 (Mountain Daylight Time),100101,Teresa Weatherspoon,Assistant Coach,2,1610612740,nba/coaches/100101
2366,Mon Aug 09 2021 04:51:49 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:40 GMT-0600 (Mountain Daylight Time),2366,Mike Wilks,Assistant Coach,2,1610612760,nba/coaches/2366
1629423,Mon Aug 09 2021 04:51:53 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:02:44 GMT-0600 (Mountain Daylight Time),1629423,Donnie Strack,Trainer,3,1610612760,nba/coaches/1629423
202891,Mon Aug 09 2021 04:51:30 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:06 GMT-0600 (Mountain Daylight Time),202891,Nate Tibbetts,Assistant Coach,2,1610612753,nba/coaches/202891
1941,Mon Aug 09 2021 04:51:56 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:35 GMT-0600 (Mountain Daylight Time),1941,Doc Rivers,Head Coach,1,1610612755,nba/coaches/1941
202434,Mon Aug 09 2021 04:51:55 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:03:38 GMT-0600 (Mountain Daylight Time),202434,Popeye Jones,Assistant Coach,2,1610612755,nba/coaches/202434
